,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
13204,4/2/2017 16:40,15.87,81.4,0.072,185.9,167.1,27690.16146,14986.55804,17280.0
13205,4/2/2017 16:50,15.86,81.7,0.07,184.8,166.9,27814.16577,14729.9389,17349.81818
13206,4/2/2017 17:00,15.78,81.6,0.071,171.3,154.6,27665.3606,14293.68635,17186.90909
13207,4/2/2017 17:10,15.82,81.9,0.071,159.5,144.3,27454.55328,14268.02444,17012.36364
13208,4/2/2017 17:20,15.86,81.7,0.073,130.5,117.8,27119.74166,14623.62525,17053.09091
13209,4/2/2017 17:30,15.73,81.7,0.071,115.9,104.7,27144.54252,14169.04277,16983.27273
13210,4/2/2017 17:40,15.81,81.8,0.071,105.7,95.0,27231.34553,14345.01018,17070.54545
13211,4/2/2017 17:50,15.71,81.9,0.084,92.7,83.2,27404.95156,14685.94705,17064.72727
13213,4/2/2017 18:10,15.62,82.4,0.072,67.24,60.37,28099.37567,14678.61507,17751.27273
13215,4/2/2017 18:30,15.57,83.1,0.074,35.75,32.0,30430.65662,15635.43788,20189.09091
13216,4/2/2017 18:40,15.53,83.2,0.077,27.49,24.7,32439.52637,16848.87984,22586.18182
13217,4/2/2017 18:50,15.52,83.1,0.075,25.29,22.81,35651.23789,18865.17312,24832.0
13218,4/2/2017 19:00,15.48,83.3,0.072,20.15,18.25,38143.72443,20115.27495,26263.27273
13220,4/2/2017 19:20,15.33,84.1,0.071,3.758,3.422,40983.42304,20995.11202,27211.63636
13221,4/2/2017 19:30,15.33,84.2,0.073,2.056,1.898,41553.84284,21101.42566,27426.90909
13222,4/2/2017 19:40,15.28,84.4,0.074,0.9,0.853,41789.45102,21317.71894,28318.0
13223,4/2/2017 19:50,15.28,84.7,0.074,0.304,0.293,41801.85145,21266.39511,27729.45455
13224,4/2/2017 20:00,15.29,85.0,0.075,0.029,0.133,41826.65231,21574.33809,27845.81818
13225,4/2/2017 20:10,15.29,85.3,0.071,0.055,0.085,42173.86437,21556.00815,27810.90909
13226,4/2/2017 20:20,15.23,86.1,0.073,0.026,0.111,42483.87513,21552.34216,27904.0
13227,4/2/2017 20:30,15.19,86.6,0.075,0.048,0.115,42310.26911,21548.67617,27805.09091
13228,4/2/2017 20:40,15.15,86.9,0.074,0.033,0.126,42062.2605,21629.3279,28037.81818
13230,4/2/2017 21:00,15.13,87.6,0.071,0.044,0.085,41863.85361,21926.27291,27601.45455
13232,4/2/2017 21:20,15.01,88.3,0.071,0.022,0.122,41603.44456,21515.68228,27409.45455
13233,4/2/2017 21:30,14.97,88.4,0.075,0.033,0.085,41665.44672,21526.68024,27112.72727
13234,4/2/2017 21:40,14.96,88.5,0.077,0.015,0.148,40884.21959,21394.70468,26914.90909
13235,4/2/2017 21:50,14.85,88.6,0.078,0.029,0.111,40487.40581,21156.41548,26513.45455
13236,4/2/2017 22:00,14.84,88.7,0.078,0.04,0.108,39458.17008,21057.43381,26158.54545
13237,4/2/2017 22:10,14.85,88.6,0.076,0.018,0.115,38552.93864,20511.20163,25588.36364
13238,4/2/2017 22:20,14.88,88.5,0.076,0.026,0.093,37672.50807,20067.61711,25012.36364
13240,4/2/2017 22:40,14.84,88.2,0.079,0.048,0.07,36010.85038,19015.47862,23883.63636
13242,4/2/2017 23:00,14.86,87.8,0.071,0.055,0.137,33766.37244,18201.62933,22743.27273
13243,4/2/2017 23:10,14.9,87.6,0.072,0.022,0.126,32712.33584,17747.04684,22253.54545
13244,4/2/2017 23:20,14.96,87.5,0.073,0.022,0.13,31856.70614,17138.49287,21538.90909
13245,4/2/2017 23:30,14.92,87.2,0.07,0.037,0.152,31025.87729,16617.92261,20788.36364
13246,4/2/2017 23:40,14.92,87.2,0.071,0.029,0.145,30430.65662,16416.29328,20398.54545
13247,4/2/2017 23:50,538.92,87.2,0.074,0.051,0.115,29389.02045,15965.37678,19549.09091
13248,4/3/2017 0:00,14.96,87.1,0.072,0.029,0.126,28496.18945,15459.47047,18775.27273
13249,4/3/2017 0:10,14.96,87.1,0.072,0.018,0.096,27727.36276,14887.57637,18164.36364
13250,4/3/2017 0:20,14.93,87.1,0.077,0.022,0.13,27293.34769,14748.26884,17634.90909
13251,4/3/2017 0:30,14.87,87.0,0.072,0.037,0.126,26561.72228,14392.66802,17314.90909
13252,4/3/2017 0:40,14.87,87.1,0.075,0.037,0.133,25954.10118,13934.41955,16878.54545
13254,4/3/2017 1:00,14.86,87.2,0.074,0.033,0.096,25086.07104,13633.80855,16349.09091
13255,4/3/2017 1:10,14.84,87.3,0.077,0.037,0.13,24552.85253,13421.18126,16372.36364
13259,4/3/2017 1:50,14.82,87.3,0.085,0.04,0.122,23424.41335,12662.32179,15685.81818
13260,4/3/2017 2:00,14.77,87.3,0.074,0.037,0.1,23511.21636,12578.00407,15546.18182
13261,4/3/2017 2:10,14.76,87.3,0.076,0.048,0.089,23436.81378,12468.02444,15342.54545
13262,4/3/2017 2:20,14.74,87.4,0.076,0.029,0.1,23250.80732,12365.37678,15249.45455
13263,4/3/2017 2:30,14.73,87.5,0.076,0.033,0.126,23052.40043,12328.7169,15115.63636
13264,4/3/2017 2:40,14.7,87.6,0.075,0.048,0.122,23126.80301,12299.389,15051.63636
13265,4/3/2017 2:50,14.68,87.6,0.081,0.066,0.082,22928.39612,12402.03666,14900.36364
13268,4/3/2017 3:20,14.63,88.0,0.078,0.026,0.108,23027.59957,12255.39715,14946.90909
13269,4/3/2017 3:30,14.61,88.2,0.075,0.037,0.093,23139.20344,12281.05906,14836.36364
13270,4/3/2017 3:40,14.55,88.3,0.079,0.033,0.104,23052.40043,12240.7332,14836.36364
13271,4/3/2017 3:50,14.48,88.5,0.081,0.055,0.082,23387.21206,12369.04277,14929.45455
13272,4/3/2017 4:00,14.45,88.7,0.079,0.048,0.163,23746.82454,12479.0224,15051.63636
13273,4/3/2017 4:10,14.46,88.8,0.082,0.04,0.111,23647.6211,12596.33401,15121.45455
13275,4/3/2017 4:30,14.43,89.1,0.081,0.029,0.122,24441.24865,13025.25458,15749.81818
13276,4/3/2017 4:40,14.44,89.2,0.073,0.022,0.137,24676.85684,13410.1833,15831.27273
13277,4/3/2017 4:50,14.4,89.2,0.083,0.04,0.1,24230.44133,13358.85947,15691.63636
13279,4/3/2017 5:10,14.37,89.4,0.075,0.022,0.137,24094.0366,13476.17108,15284.36364
13281,4/3/2017 5:30,14.31,89.4,0.077,0.022,0.122,23858.42842,13153.56415,14976.0
13282,4/3/2017 5:40,14.32,89.4,0.139,0.011,0.126,23263.20775,12797.96334,14667.63636
13283,4/3/2017 5:50,14.33,89.4,0.561,0.033,0.1,22791.99139,12896.94501,13678.54545
13284,4/3/2017 6:00,14.28,89.4,0.555,0.033,0.108,22903.59526,13215.88595,12736.0
13285,4/3/2017 6:10,14.27,89.4,0.865,0.04,0.119,23300.40904,13468.8391,12352.0
13286,4/3/2017 6:20,14.25,89.5,0.449,0.033,0.096,23808.8267,13538.49287,12258.90909
13287,4/3/2017 6:30,14.22,89.5,0.271,0.029,0.156,23846.02799,13703.46232,12090.18182
13289,4/3/2017 6:50,14.14,89.6,0.09,0.227,0.256,23436.81378,13597.14868,11613.09091
13290,4/3/2017 7:00,14.12,89.7,0.079,0.677,0.656,24317.24435,13784.11405,11636.36364
13291,4/3/2017 7:10,14.12,89.6,0.077,2.005,1.821,24751.25942,14055.39715,11962.18182
13292,4/3/2017 7:20,14.09,89.7,0.085,4.72,4.257,25160.47363,14755.60081,12066.90909
13293,4/3/2017 7:30,14.05,89.7,0.082,6.162,5.532,25482.88482,14993.89002,12264.72727
13294,4/3/2017 7:40,14.0,89.7,0.082,6.81,6.129,26127.70721,15536.45621,12474.18182
13297,4/3/2017 8:10,14.04,89.7,0.642,25.35,22.55,27764.56405,16013.03462,13387.63636
13302,4/3/2017 9:00,14.15,89.7,0.101,67.33,61.24,30120.64586,17138.49287,15150.54545
13303,4/3/2017 9:10,14.22,89.6,0.1,47.8,61.77,30802.66954,17644.39919,15608.54545
13304,4/3/2017 9:20,14.28,89.5,0.082,70.4,63.84,31745.10226,17442.76986,15598.54545
13305,4/3/2017 9:30,14.35,89.6,0.079,72.9,719.14,32389.92465,18069.65377,15936.0
13307,4/3/2017 9:50,14.41,89.4,0.077,93.3,83.3,33208.35307,18696.53768,16349.09091
13310,4/3/2017 10:20,14.59,89.3,0.075,122.3,109.1,34671.60388,18557.23014,16797.09091
13311,4/3/2017 10:30,14.63,89.4,0.072,147.3,130.3,35229.62325,19070.46843,17018.18182
13312,4/3/2017 10:40,14.66,89.1,0.073,205.4,183.0,35266.82454,19213.44196,17396.36364
13313,4/3/2017 10:50,14.7,88.8,0.071,209.1,188.7,35539.63402,19239.10387,17728.0
13314,4/3/2017 11:00,14.82,88.5,0.072,194.3,174.5,35576.83531,19268.43177,17978.18182
13315,4/3/2017 11:10,14.93,88.2,0.07,215.7,192.8,35676.03875,19396.74134,18036.36364
13317,4/3/2017 11:30,15.07,87.4,0.068,219.6,196.7,36048.05167,19506.72098,18362.18182
13318,4/3/2017 11:40,15.09,87.2,0.073,260.3,233.5,36085.25296,19363.74745,18490.18182
13319,4/3/2017 11:50,15.23,87.0,0.073,317.6,284.4,36308.46071,19444.39919,18798.54545
13320,4/3/2017 12:00,15.34,86.4,0.07,367.6,329.1,36283.65985,19374.74542,19060.36364
13321,4/3/2017 12:10,15.5,86.0,0.068,361.5,322.9,36358.06243,19327.08758,19293.09091
13322,4/3/2017 12:20,15.55,85.6,0.075,229.9,207.5,36221.6577,19217.10794,19473.45455
13323,4/3/2017 12:30,15.59,85.0,0.072,318.5,296.2,36271.25942,19385.74338,19572.36364
13324,4/3/2017 12:40,15.76,85.2,0.072,340.4,305.9,35750.44133,19679.0224,19368.72727
13325,4/3/2017 12:50,15.85,84.4,0.072,301.9,271.2,35403.22928,19539.71487,19223.27273
13326,4/3/2017 13:00,15.91,84.1,0.071,343.1,308.6,35266.82454,19345.41752,19083.63636
13327,4/3/2017 13:10,16.01,83.8,0.07,375.3,338.1,35552.03445,19294.09369,19170.90909
13328,4/3/2017 13:20,16.04,83.4,0.072,402.6,361.2,35031.21636,19129.12424,19153.45455
13329,4/3/2017 13:30,16.11,83.2,0.071,408.1,364.7,34832.80947,19257.43381,18856.72727
13331,4/3/2017 13:50,16.3,82.4,0.07,458.7,410.4,34820.40904,18872.50509,18542.54545
13332,4/3/2017 14:00,16.4,82.5,0.069,428.6,379.0,34547.59957,18883.50305,18693.81818
13334,4/3/2017 14:20,16.3,82.2,0.067,412.6,367.6,34200.38751,19323.42159,18391.27273
13336,4/3/2017 14:40,16.29,82.6,0.072,329.2,294.1,33977.17976,19539.71487,18554.18182
13337,4/3/2017 14:50,16.34,981.3,0.069,292.6,263.2,33443.96125,19272.09776,18327.27273
13338,4/3/2017 15:00,16.24,82.3,0.069,267.6,240.8,33344.7578,19118.12627,18024.72727
13340,4/3/2017 15:20,16.04,83.2,0.072,143.3,128.7,2707832.42202,19745.01018,17669.81818
13343,4/3/2017 15:50,15.86,83.5,0.069,136.9,122.6,32637.93326,18810.1833,17722.18182
13344,4/3/2017 16:00,15.89,83.6,0.067,177.0,159.6,32389.92465,18711.20163,17762.90909
13345,4/3/2017 16:10,15.97,83.5,0.071,178.6,164.5,32104.71475,18663.54379,17693.09091
13347,4/3/2017 16:30,15.88,83.5,0.067,151.8,137.8,31906.30786,18344.60285,17896.72727
13349,4/3/2017 16:50,15.75,83.4,0.07,96.4,86.5,31645.89882,17948.67617,17844.36364
13351,4/3/2017 17:10,15.74,83.4,0.072,113.0,102.7,31732.70183,17948.67617,18018.90909
13352,4/3/2017 17:20,15.67,83.4,0.075,89.2,84.8,32042.71259,17780.04073,18146.90909
13353,4/3/2017 17:30,15.64,83.5,0.07,77.8,71.3,32451.9268,17633.40122,18170.18182
13354,4/3/2017 17:40,15.64,83.5,0.07,72.7,65.51,32513.92896,18032.99389,18466.90909
13355,4/3/2017 17:50,15.57,83.2,0.077,64.69,58.13,32662.73412,18040.32587,18635.63636
13357,4/3/2017 18:10,15.54,83.2,0.074,43.3,38.94,33406.75996,18333.60489,19310.54545
13358,4/3/2017 18:20,15.44,83.3,0.075,33.51,30.23,34262.38967,18696.53768,20119.27273
13359,4/3/2017 18:30,15.31,83.0,0.075,29.38,26.49,35700.83961,19187.78004,21626.18182
13360,4/3/2017 18:40,15.35,82.8,0.073,20.6,18.56,37598.10549,20122.60692,23994.18182
13361,4/3/2017 18:50,15.26,82.8,0.076,11.33,10.27,40698.21313,21874.94908,26321.45455
13362,4/3/2017 19:00,15.14,83.4,0.077,6.543,5.989,42769.08504,22974.74542,27118.54545
13363,4/3/2017 19:10,15.11,83.7,0.071,4.238,3.805,44343.93972,24085.53971,28270.54545
13364,4/3/2017 19:20,15.07,84.0,0.069,2.807,2.536,44765.55436,24455.80448,28375.27273
13366,4/3/2017 19:40,15.08,85.1,0.074,0.695,0.582,44914.35953,24232.17923,28514.90909
13367,4/3/2017 19:50,15.02,85.8,0.07,0.176,0.33,44790.35522,24162.52546,28561.45455
13368,4/3/2017 20:00,15.02,86.0,0.073,0.055,0.182,44728.35307,24147.86151,28544.0
13369,4/3/2017 20:10,15.0,86.4,0.07,0.066,0.115,44777.95479,24312.83096,28666.18182
13370,4/3/2017 20:20,15.0,86.7,0.077,0.033,0.141,44678.75135,24140.52953,28637.09091
13372,4/3/2017 20:40,15.01,87.0,0.067,0.018,0.13,43649.51561,23861.91446,28410.18182
13373,4/3/2017 20:50,15.03,87.2,0.067,0.037,0.085,43240.3014,23553.97149,28026.18182
13374,4/3/2017 21:00,14.95,87.3,0.067,0.044,0.108,42632.6803,23114.05295,27915.63636
13375,4/3/2017 21:10,14.96,87.3,0.065,0.048,0.108,42149.06351,22839.10387,27549.09091
13376,4/3/2017 21:20,14.96,87.3,0.066,0.044,0.111,41628.24543,22560.4888,27287.27273
13377,4/3/2017 21:30,15.0,87.1,0.07,0.029,0.126,41194.23036,22193.89002,26973.09091
13378,4/3/2017 21:40,14.95,86.8,0.075,0.044,0.093,40537.00753,22047.25051,26955.63636
13379,4/3/2017 21:50,14.91,86.5,0.074,0.04,0.108,39656.57696,21808.9613,26274.90909
13380,4/3/2017 22:00,14.86,86.3,0.072,0.029,0.133,38788.54682,21570.6721,25768.72727
13382,4/3/2017 22:20,14.8,85.7,0.069,0.037,0.13,36816.87836,20478.20774,24581.81818
13383,4/3/2017 22:30,14.89,85.0,0.077,0.044,0.122,35552.03445,19884.31772,24017.45455
13385,4/3/2017 22:50,14.87,84.8,0.074,0.037,0.115,33729.17115,18733.19756,22615.27273
13386,4/3/2017 23:00,14.88,84.9,0.075,1.82,0.145,32613.1324,17956.00815,21888.0
13387,4/3/2017 23:10,14.88,84.8,0.074,0.754,0.133,31769.90312,17607.73931,21480.72727
13388,4/3/2017 23:20,14.89,84.6,0.07,0.026,0.115,31013.47686,17274.13442,21003.63636
13390,4/3/2017 23:40,14.93,84.1,0.071,0.029,0.145,29612.2282,16463.95112,19584.0
13391,4/3/2017 23:50,14.97,83.9,0.069,0.015,4.212,29004.6071,16057.02648,19194.18182
13392,4/4/2017 0:00,14.99,83.8,0.069,0.033,0.126,28359.78471,15672.09776,18734.54545
13393,4/4/2017 0:10,14.99,83.7,0.069,0.037,0.137,27454.55328,15422.81059,18181.81818
13394,4/4/2017 0:20,15.03,83.9,0.068,0.029,0.119,26710.52745,15078.20774,17786.18182
13395,4/4/2017 0:30,14.98,84.2,0.07,0.026,0.141,26400.51668,14964.56212,17570.90909
13397,4/4/2017 0:50,14.92,84.8,0.073,0.018,0.145,25482.88482,14282.68839,16872.72727
13398,4/4/2017 1:00,14.81,85.1,0.076,0.044,0.137,25148.0732,14139.71487,16651.63636
13399,4/4/2017 1:10,14.77,85.4,0.068,0.033,0.182,24949.66631,14088.39104,16546.90909
13400,4/4/2017 1:20,14.79,85.6,0.068,0.04,0.137,24924.86545,13839.10387,16430.54545
13401,4/4/2017 1:30,14.76,85.6,0.069,0.033,0.182,24590.05382,13531.1609,16256.0
13402,4/4/2017 1:40,14.76,85.6,4.896000000000001,0.033,0.215,24118.83746,13432.17923,16087.27273
13403,4/4/2017 1:50,14.81,85.6,0.068,0.029,0.163,23970.03229,13322.19959,15941.81818
13404,4/4/2017 2:00,14.82,85.4,0.069,0.018,0.137,23808.8267,13201.222,15802.18182
13405,4/4/2017 2:10,14.81,85.1,0.074,0.037,0.141,23722.02368,13168.22811,15755.63636
13407,4/4/2017 2:30,14.87,84.5,0.07,0.033,0.137,23511.21636,12761.30346,15482.18182
13408,4/4/2017 2:40,14.91,84.2,0.069,0.044,0.126,23560.81808,13025.25458,15389.09091
13409,4/4/2017 2:50,14.96,83.8,0.067,0.055,0.174,23486.4155,12896.94501,15325.09091
13410,4/4/2017 3:00,15.0,83.6,0.066,0.029,0.141,23412.01292,12805.29532,15330.90909
13412,4/4/2017 3:20,15.04,83.4,0.07,0.029,0.13,23560.81808,12827.29124,15162.18182
13413,4/4/2017 3:30,15.02,83.6,0.069,0.044,0.156,23498.81593,13028.92057,15173.81818
13414,4/4/2017 3:40,15.03,489.7,0.07,0.044,0.133,23523.61679,12878.61507,15232.0
13415,4/4/2017 3:50,15.0,83.8,0.069,0.026,0.133,23449.21421,12867.61711,15266.90909
13416,4/4/2017 4:00,14.91,83.8,0.068,0.018,0.145,23424.41335,12944.60285,15342.54545
13417,4/4/2017 4:10,14.88,83.8,0.069,0.051,0.156,23461.61464,12981.26273,15435.63636
13418,4/4/2017 4:20,14.92,84.1,0.072,0.04,0.122,23672.42196,13270.87576,15627.63636
13419,4/4/2017 4:30,14.91,84.4,0.073,0.015,0.193,25240.25942,13802.44399,16244.36364
13420,4/4/2017 4:40,14.85,85.1,0.074,0.022,0.126,24900.06459,14029.73523,16058.18182
13421,4/4/2017 4:50,14.79,85.7,0.07,0.044,0.096,24577.65339,13949.0835,15912.72727
13422,4/4/2017 5:00,14.7,86.0,0.07,0.026,0.126,24416.44779,13941.75153,484276.36358
13423,4/4/2017 5:10,14.51,86.1,0.07,0.04,0.119,24366.84607,13846.43585,15569.45455
13424,4/4/2017 5:20,14.33,86.6,0.072,0.037,0.137,24242.84177,13912.42363,15470.54545
13425,4/4/2017 5:30,14.26,87.0,0.069,0.037,0.119,23970.03229,13355.19348,15156.36364
13426,4/4/2017 5:40,14.27,87.2,0.068,0.037,0.145,23387.21206,13226.88391,14574.54545
13427,4/4/2017 5:50,14.17,87.8,0.068,0.04,0.115,22878.7944,13314.86762,13707.63636
13428,4/4/2017 6:00,14.18,88.1,0.067,0.044,0.122,22953.19699,13461.50713,12788.36364
13429,4/4/2017 6:10,14.11,88.5,0.068,0.048,0.093,23263.20775,13952.74949,12381.09091
13430,4/4/2017 6:20,14.08,88.9,0.069,0.059,0.137,23722.02368,14172.70876,12253.09091
13431,4/4/2017 6:30,14.1,89.0,0.069,0.062,0.122,23759.22497,14323.01426,12229.81818
13432,4/4/2017 6:40,14.09,89.3,0.067,0.07,0.108,23672.42196,14304.68432,12055.27273
13433,4/4/2017 6:50,14.11,89.7,0.07,0.124,0.141,23536.01722,14231.36456,11950.54545
13434,4/4/2017 7:00,14.08,89.7,0.064,0.505,0.449,24428.84822,14781.26273,12026.18182
13435,4/4/2017 7:10,14.06,90.0,0.069,2.25,2.028,24924.86545,15177.18941,12171.63636
13436,4/4/2017 7:20,14.06,90.1,0.068,4.417,3.953,24900.06459,15679.42974,12381.09091
13437,4/4/2017 7:30,14.09,90.3,0.07,6.847,6.189,25321.67922,15844.39919,12648.72727
13438,4/4/2017 7:40,14.09,90.5,0.07,8.38,8.06,25978.90205,16221.99593,12858.18182
13442,4/4/2017 8:20,14.1,91.2,0.071,63.33,57.42,28595.3929,17244.80652,14196.36364
13443,4/4/2017 8:30,14.23,91.3,0.068,58.04,53.57,29103.81055,17233.80855,14557.09091
13444,4/4/2017 8:40,14.23,91.2,0.068,46.05,40.39,29364.21959,17417.10794,15639.27273
13445,4/4/2017 8:50,14.22,91.3,0.071,40.79,36.31,29686.63079,17882.68839,16087.27273
13446,4/4/2017 9:00,14.2,91.4,0.07,75.6,68.09,29959.44026,17761.71079,15604.36364
13447,4/4/2017 9:10,14.27,91.7,0.071,76.6,69.19,30740.66738,18179.6334,15738.18182
13448,4/4/2017 9:20,14.37,91.5,0.071,96.5,86.9,30877.07212,18641.54786,16098.90909
13449,4/4/2017 9:30,14.34,91.6,0.067,101.6,92.3,31348.28848,18824.84725,16256.0
13450,4/4/2017 9:40,14.43,91.5,0.066,111.6,102.4,31497.09365,19114.46029,16448.0
13451,4/4/2017 9:50,14.44,91.5,0.064,99.9,92.1,32451.9268,19569.04277,16919.27273
13453,4/4/2017 10:10,14.47,91.4,0.066,94.4,88.3,33146.35091,19789.00204,17076.36364
13454,4/4/2017 10:20,14.48,91.4,0.065,113.6,105.5,33865.57589,19396.74134,17355.63636
13455,4/4/2017 10:30,14.58,91.4,0.068,171.6,157.9,34274.7901,19917.31161,17582.54545
13456,4/4/2017 10:40,14.65,91.4,0.069,200.2,184.6,34287.19053,20140.93686,17733.81818
13458,4/4/2017 11:00,14.93,90.9,0.069,131.9,122.0,34671.60388,20181.26273,17908.36364
13459,4/4/2017 11:10,15.01,90.7,0.069,188.3,175.5,35167.6211,20005.29532,18263.27273
13460,4/4/2017 11:20,15.22,90.6,0.073,200.6,182.2,35291.6254,20316.90428,18478.54545
13462,4/4/2017 11:40,15.39,90.3,0.068,192.4,176.1,35849.64478,20657.84114,18583.27273
13464,4/4/2017 12:00,15.63,89.3,0.071,161.0,146.7,35700.83961,20313.23829,18589.09091
13465,4/4/2017 12:10,15.7,88.7,0.072,133.7,122.7,35700.83961,20745.82485,19397.81818
13466,4/4/2017 12:20,15.87,88.6,0.07,967.4,156.2,35626.43703,20511.20163,18402.90909
13467,4/4/2017 12:30,15.97,88.1,0.068,196.2,179.9,35502.43272,20445.21385,18740.36364
13469,4/4/2017 12:50,16.23,86.8,0.072,194.3,179.0,34398.7944,20027.29124,18653.09091
13471,4/4/2017 13:10,16.25,85.0,0.072,176.6,162.6,34287.19053,20379.22607,18728.72727
13472,4/4/2017 13:20,16.6,84.4,0.071,200.7,184.2,34039.18192,20393.89002,18676.36364
13473,4/4/2017 13:30,16.79,83.5,0.072,395.9,359.1,33679.56943,20646.84318,18664.72727
13474,4/4/2017 13:40,17.24,82.3,0.069,580.8,360.6,33617.56728,20727.49491,18519.27273
13475,4/4/2017 13:50,17.42,80.2,0.071,432.0,297.4,33741.57158,20588.18737,18362.18182
13477,4/4/2017 14:10,17.64,77.4,0.074,416.9,313.9,33468.76211,20958.45214,18123.63636
13478,4/4/2017 14:20,17.78,76.7,0.073,580.0,373.7,33753.97201,20852.13849,18158.54545
13479,4/4/2017 14:30,17.72,75.1,0.073,416.6,298.2,33605.16685,20723.82892,17914.18182
13480,4/4/2017 14:40,18.11,75.3,0.076,743.0,374.0,33220.7535,20338.9002,17850.18182
13481,4/4/2017 14:50,18.27,74.3,0.071,769.0,822.1,33133.95048,20467.20978,17757.09091
13483,4/4/2017 15:10,18.37,73.1,0.071,790.0,571.0,32687.53498,19814.66395,17815.27273
13484,4/4/2017 15:20,18.65,72.0,0.076,699.6,615.3,32588.33154,19865.98778,17821.09091
13485,4/4/2017 15:30,19.09,71.0,0.076,657.4,640.2,32575.93111,19770.6721,17693.09091
13486,4/4/2017 15:40,19.0,70.2,0.073,630.8,641.2,32538.72982,19451.73116,15325.09091
13487,4/4/2017 15:50,19.05,71.0,0.071,611.1,626.7,32166.7169,18725.86558,17890.90909
13488,4/4/2017 16:00,19.01,69.83,0.074,587.8,604.1,31484.69322,18956.82281,17815.27273
13489,4/4/2017 16:10,19.22,69.23,0.073,570.0,584.4,31472.29279,18645.21385,17832.72727
13490,4/4/2017 16:20,19.34,68.86,0.073,556.7,570.3,31497.09365,18406.92464,17902.54545
13491,4/4/2017 16:30,19.41,68.93,0.071,528.3,537.6,31633.49839,18384.92872,18024.72727
13492,4/4/2017 16:40,19.2,67.79,0.072,465.2,473.0,32079.91389,18465.58045,18042.18182
13493,4/4/2017 16:50,19.21,67.99,0.073,438.6,442.5,32203.91819,18285.94705,18808.63636
13494,4/4/2017 17:00,19.28,67.82,0.072,461.9,463.2,32079.91389,17930.34623,17960.72727
13495,4/4/2017 17:10,19.19,67.72,0.073,440.4,442.2,32129.51561,17728.7169,18094.54545
13496,4/4/2017 17:20,19.25,67.62,0.072,428.3,433.0,32241.11948,17736.04888,18245.81818
13497,4/4/2017 17:30,19.07,2824.92,0.074,373.2,380.5,32203.91819,17912.01629,18327.27273
13499,4/4/2017 17:50,18.75,68.36,0.075,193.3,192.2,32600.73197,17798.37067,18507.63636
13500,4/4/2017 18:00,18.67,68.86,0.073,193.3,197.4,32836.34015,17992.66802,19002.18182
13501,4/4/2017 18:10,18.7,68.79,0.073,161.6,169.0,33195.95264,18087.98371,19392.0
13502,4/4/2017 18:20,18.52,69.36,0.073,173.0,168.4,34448.39612,18318.94094,20392.72727
13503,4/4/2017 18:30,18.55,69.63,0.075,147.7,142.1,35440.43057,18740.52953,21672.72727
13504,4/4/2017 18:40,18.58,69.53,0.078,95.3,90.9,37275.69429,19572.70876,23924.36364
13505,4/4/2017 18:50,18.4,70.3,0.075,47.75,44.35,40475.00538,21251.73116,26554.18182
13506,4/4/2017 19:00,18.42,70.7,0.08,33.12,30.61,42533.47686,22740.1222,27397.81818
13507,4/4/2017 19:10,18.35,71.1,0.076,32.78,31.33,44492.74489,23803.25866,28421.81818
13509,4/4/2017 19:30,18.17,73.0,0.079,11.67,11.06,45050.76426,24008.55397,28683.63636
13510,4/4/2017 19:40,17.76,73.9,0.08,3.22,2.94,45187.169,24030.5499,28770.90909
13511,4/4/2017 19:50,17.53,74.6,0.076,0.79,0.749,45025.9634,23986.55804,28782.54545
13513,4/4/2017 20:10,18.01,75.4,0.079,0.048,0.126,44604.34876,23770.26477,28695.27273
13514,4/4/2017 20:20,17.34,74.5,0.072,0.018,0.126,44542.34661,23755.60081,28648.72727
13516,4/4/2017 20:40,17.21,74.6,0.068,0.022,0.096,44368.74058,23575.96741,28666.18182
13517,4/4/2017 20:50,17.13,74.6,0.069,364.026,0.089,43773.51991,23385.33605,28445.09091
13518,4/4/2017 21:00,17.05,74.1,0.068,0.037,0.108,43029.49408,23081.05906,28177.45455
13519,4/4/2017 21:10,17.12,73.9,0.071,0.044,0.159,42347.4704,22714.46029,27822.54545
13520,4/4/2017 21:20,17.14,73.2,0.07,0.044,0.133,42049.86006,22549.49084,27630.54545
13521,4/4/2017 21:30,17.2,72.7,0.072,0.048,0.152,41491.84069,22201.222,27479.27273
13522,4/4/2017 21:40,17.2,72.6,0.069,0.051,0.133,40735.41442,21625.66191,27083.63636
13523,4/4/2017 21:50,17.09,73.5,0.074,0.07,0.111,40090.59203,21515.68228,26874.18182
13525,4/4/2017 22:10,16.96,77.5,0.07,0.055,0.141,39048.95587,20962.11813,26373.81818
13526,4/4/2017 22:20,16.85,79.1,0.071,0.04,0.163,37833.71367,20745.82485,25762.90909
13527,4/4/2017 22:30,16.76,80.2,0.07,0.029,0.222,36792.0775,20236.25255,25442.90909
13529,4/4/2017 22:50,16.63,81.6,0.071,0.029,428.159,34671.60388,18839.5112,24034.90909
13530,4/4/2017 23:00,16.55,82.1,0.071,0.055,0.204,33505.9634,18095.31568,23232.0
13531,4/4/2017 23:10,16.54,82.6,0.07,0.037,0.159,32526.32939,17787.37271,22789.81818
13532,4/4/2017 23:20,16.51,82.9,0.075,0.044,0.204,31273.8859,17098.16701,22004.36364
13533,4/4/2017 23:30,702.46,83.1,0.069,0.044,0.156,30244.65016,16474.94908,21236.36364
